Gene_ID	perf_avg	expression	std	std/exp	miss_ratio
A1BG	0.07283690315523662	0.050103043038412884	0.025430353542337032	0.5075610581744535	0.0
A2M	0.11462148791665212	0.06322174176166041	0.03388601903280028	0.5359867996131323	0.0
AAAS	0.09683890397062364	0.000985964777015073	0.047200701363638	47.87260403615455	0.01639344262295082
AACS	0.1699227898531956	-0.017836895269403658	0.03270200461375922	-1.8333910761843333	0.0
AAK1	0.14332632447518395	-0.038659376976792705	0.030547742360969677	-0.7901767889148225	0.0
AAMDC	0.15633709594407427	-0.010466264363756562	0.025030339966765455	-2.3915256768635205	0.0
AAMP	0.21789390453231863	-0.022429096722901803	0.031955964626991885	-1.424754862925997	0.0
AAR2	0.14447165442757956	0.047346389960101626	0.029087827307977435	0.614362094607202	0.040983606557377046
AARS	0.16035669563839844	0.03168728615070965	0.051590583705512866	1.6281161933571733	0.0
AARS2	0.12515064383542407	0.009226899713286725	0.02801717507011978	3.036466845930392	0.02459016393442623
AARSD1	0.16577722054029842	0.030669463562930405	0.03937296282294702	1.2837838764984586	0.0
AASDHPPT	0.11095912190484467	0.033206403398198435	0.027838966582642663	0.8383613921932005	0.0
AASS	0.16025923021360247	0.025186080167985778	0.03898103634697201	1.5477214432328024	0.12295081967213115
AATF	0.1279685886535235	-0.016013288216995974	0.03292418632632095	-2.056054064609685	0.0
ABAT	0.16065368326287338	-0.34670526482227987	0.03169632980013696	-0.09142154162667361	0.0
ABCA1	0.15511795729278635	0.05057014752107741	0.041412675240148585	0.8189154524986894	0.04918032786885246
ABCB10	0.1661135878071899	0.05969172772623635	0.043418526513648664	0.7273792896861467	0.0
ABCB6	0.1707918154820644	-0.013281916076067914	0.028319799874881927	-2.1322074098864467	0.0
ABCB7	0.16574709220089384	0.05310033258910795	0.015208559640106027	0.2864117586191096	0.0
ABCB8	0.12479162679290931	0.02302354250523757	0.021598053123264408	0.9380855755951161	0.01639344262295082
ABCC1	0.118214991885359	-0.11846616785069489	0.04028769040841144	-0.34007760307724955	0.0
ABCC3	0.10881480191364354	0.07096549855160844	0.029889626058860107	0.42118531777978546	0.3114754098360656
ABCC4	0.13975493980760617	-0.017900167998524147	0.02592404115693113	-1.448256863235504	0.0
ABCD1	0.17595350163011667	0.02403712471922856	0.05462682592047439	2.272602341526128	0.02459016393442623
ABCD3	0.1362749389266038	0.011517587922829137	0.02899026466436458	2.5170430526432237	0.0
ABCD4	0.1695213727672132	0.21804871549044005	0.07375221575387163	0.3382373319099197	0.7540983606557377
ABCE1	0.1300863223286029	0.05063192265180429	0.03605436948536242	0.7120877027188619	0.0
ABCF1	0.11845481427773732	0.005867832782263112	0.0282053798608054	4.8067797613563075	0.0
ABCF2	0.16174365130928323	-0.0009739369537708246	0.021602028506199543	-22.180109731499805	0.0
ABCF3	0.12563103607712367	-0.003801886212917201	0.027311660897750296	-7.183713390726115	0.0
ABHD10	0.1469239410432225	0.03174284607101451	0.024118462249905707	0.759807806645577	0.0
ABHD11	0.14540724746703096	-0.04767082023295696	0.016324357018032223	-0.342439188968401	0.0
ABHD12	0.15253967739075858	0.0002786403839009885	0.04007425067690914	143.82068426645952	0.0
ABHD14B	0.13669952123956136	-0.046208157464405146	0.019199049354030738	-0.4154904763043205	0.0
ABHD16A	0.1466130313355091	-0.014209310081518349	0.041396307381151194	-2.9133228245187084	0.0
ABHD5	0.18483139359869705	0.09995239299312855	0.11702248848351718	1.170782259225771	0.8278688524590164
ABI1	0.13461799396032129	0.008085481057131307	0.03661296768041676	4.528236158332783	0.0
ABI2	0.1720991374156895	-0.02812578236875453	0.028015139351507266	-0.996066135483926	0.040983606557377046
ABI3	0.10134280213647114	0.0710206177042911	0.0163527498800874	0.23025355746940168	0.040983606557377046
ABI3BP	0.12425546670487195	0.11985106880532603	0.03200636560666801	0.2670511487774541	0.30327868852459017
ABLIM1	0.14881134025500703	-0.03162824391675796	0.03911994673368085	-1.2368674921263483	0.0
ABR	0.0937169726958056	0.07520379183079945	0.022163241575394718	0.2947090969197359	0.02459016393442623
ABRACL	0.1445566857697464	-0.05978693283417835	0.04220079789483543	-0.7058532005962102	0.01639344262295082
ABRAXAS1	0.1618562594081629	-0.0018798561915967695	0.0418296384874351	-22.2515098093246	0.21311475409836064
ABRAXAS2	0.16310328535650426	0.018270614423061795	0.0366257821397195	2.00462782978383	0.0
ABT1	0.12010097819485188	0.022226435398313177	0.029231740079607074	1.3151789549585422	0.2540983606557377
ACAA1	0.15341178499370572	-0.04309901538724778	0.03997298726799936	-0.9274686882945972	0.0
ACAA2	0.16103495825688915	0.02564622997549173	0.0338853321207751	1.3212597778760033	0.0
ACACA	0.11536281460409162	0.013135251077872613	0.03253986414731519	2.4772928933297065	0.0
ACAD10	0.14505375202334098	0.005759688387683268	0.052215727387643275	9.065720898947125	0.0
ACAD8	0.14786212379361086	-0.07778105067520868	0.03043917764615047	-0.39134438763569457	0.0
ACAD9	0.19209330631893362	0.08382637007107696	0.042597804964588135	0.5081671188728458	0.0
ACADM	0.13694857447509395	0.09166274376198509	0.02937462715103355	0.320464192380154	0.0
ACADS	0.16609487332768572	-0.061660804491624546	0.02407594023354502	-0.3904577702487693	0.0
ACADSB	0.1254009740997108	-0.022676811696033687	0.02184673299221511	-0.9633952640721639	0.0
ACADVL	0.16232102557121514	0.04079612635644442	0.033366963994002324	0.817895397775467	0.0
ACAP2	0.17800417266906143	0.01767089530022525	0.05076649999446891	2.872887826675188	0.0
ACAT1	0.1307805215577867	0.03179170068933835	0.014365322628569635	0.45185763319001	0.0
ACAT2	0.13800237352488925	-0.029292268563797793	0.03177506428523361	-1.084759420938271	0.0
ACBD3	0.12657446845782422	0.040354354134640585	0.022736350171309438	0.5634175210796479	0.0
ACBD5	0.16122030867441814	-0.05691125690500136	0.0560686237062748	-0.9851939098773883	0.0
ACBD6	0.10298095566426449	0.04312523129639628	0.01799682459720387	0.4173154335918369	0.0
ACBD7	0.13038550191036896	-0.14525091635492218	0.03687475304704462	-0.2538693315843927	0.040983606557377046
ACE	0.18708677438972482	0.040946493115124105	0.06294082769982892	1.5371481880723243	0.08196721311475409
ACIN1	0.1006580783331041	0.023167941757364016	0.02466389528026647	1.0645699794383747	0.0
ACLY	0.16925670654185626	0.054174913972009936	0.027745746863783314	0.5121511937816543	0.0
ACO1	0.1300216937162249	0.023432518566505484	0.015470465572336084	0.660213520302065	0.0
ACO2	0.13275757677606206	0.06266186050547394	0.02268152625879404	0.36196700953066424	0.0
ACOT11	0.16118805614440432	-0.0026213736678529845	0.06639740514667047	-25.329240909424694	0.20491803278688525
ACOT13	0.15904925485495283	0.003250284435872136	0.05635188600065275	17.33752448823208	0.0
ACOT7	0.1692585615204491	0.012310262169847049	0.026819623260517594	2.178639487159746	0.0
ACOT8	0.10918850614862721	-0.0024019396732626363	0.022382029085437603	-9.318314416712777	0.06557377049180328
ACOT9	0.11686921799202872	0.025657271956931318	0.030175245959934267	1.176089414750987	0.0
ACOX1	0.15304757710875685	-0.007266978425348117	0.03129141555649809	-4.30597336677783	0.0
ACOX3	0.14823681144881412	-0.043255927358164664	0.03148044066678556	-0.7277717203037505	0.0
ACP1	0.18677841929278644	0.024023467132063516	0.04397856799844637	1.8306503285593312	0.0
ACP2	0.09705392278212525	-0.03309556563492488	0.04595561913569306	-1.3885733104738753	0.01639344262295082
