Gene_ID	0	1	2	3	4	5	6	7	8	9
A1BG	0.11562790799956632	0.18478499244766625	0.11157485760312068	0.3300930895596388	0.18157576216348625	0.10755388022167243	0.1570734631858199	0.14943520486404085	0.14616469371311047	0.18394855618461173
A2M	0.17509350808771104	0.065065855611166	0.15069448075795858	0.18218385422791172	0.1690746613282446	0.1385465769396625	0.20646409660573145	0.13952912928883662	0.14051347359963398	0.21930937792420768
AAAS	0.08634016454392159	0.15896967179654312	0.10229160645414316	0.13600252897140416	0.09215833458837076	0.08960124791252361	0.07432354739353078	0.1764282108491411	0.1074615294089866	0.1106685205479972
AACS	0.2663553093753162	0.2991287355657121	0.200894809352946	0.1814382531111993	0.2695291722518301	0.1763399628549648	0.1642876790916083	0.1385372216407624	0.1952121527415432	0.24589365539078
AAK1	0.18854491516267846	0.1375764624140028	0.1791437809719716	0.1532647580934074	0.19832872090076709	0.1964376494457329	0.13677538292837838	0.2104567735217295	0.19102573385303173	0.1410484382510121
AAMDC	0.2721093727972488	0.15522631595714406	0.1663166473200079	0.20649816791488454	0.11696594066394266	0.15474426891081428	0.22294253441180756	0.1864152370185361	0.14375974043013698	0.15078839733731345
AAMP	0.25205455317465275	0.247143205040014	0.2242069302354591	0.3032434733632767	0.17511406323891024	0.1724031437342666	0.2211030301619335	0.2495123048962884	0.23867404686186586	0.18581035796957351
AAR2	0.13444437067842824	0.17772205145119002	0.13487013268402126	0.21081949677763184	0.1978995719541863	0.1426309988890324	0.256231744178397	0.12140125426365757	0.12258927634078848	0.2439903315515433
AARS	0.13013920485642852	0.2353967965061717	0.13997510787017076	0.3271947733879665	0.16783020057819084	0.160895589936961	0.2143047970551135	0.21608629600623894	0.1621803169267022	0.2369580392476379
AARS2	0.11350669579498647	0.101965147043576	0.10363612572192853	0.1592113354523696	0.12256977626682672	0.12905712415372614	0.09166463164805036	0.14584490918424178	0.12386103139825977	0.1375502012675078
AARSD1	0.1831570235702012	0.13162824261916695	0.145969979589101	0.1919947798332613	0.11703572107342425	0.1973462241004141	0.2353805972790037	0.1600573395829243	0.15186939473591113	0.2833087205394865
AASDHPPT	0.08598707026121649	0.13728719211726667	0.1293478219151106	0.1384351345465123	0.151868272681544	0.12444582516994795	0.10434753930677854	0.15517012971814526	0.11456376155960613	0.17956774067907735
AASS	0.07799634752575084	0.1528065367071522	0.150543582633384	0.250044514631021	0.0967087994697651	0.0727278800770505	0.15030510360940208	0.13744682461225916	0.14688255167800884	0.25389505693083997
AATF	0.19839075970540485	0.2553567495901856	0.1936925099445102	0.1838169532307704	0.15424148786625838	0.13566914509780711	0.1761135808286389	0.1385962386042787	0.1830606027416556	0.11743236836400672
ABAT	0.2023728242788884	0.2727014429771305	0.1932914878794083	0.2278509902661042	0.12378694854220665	0.2750474422754827	0.2036186685314088	0.17001525081518665	0.23203304252154486	0.17930141340482045
ABCA1	0.2970992662107708	0.1928776910579953	0.07140016958714693	0.17773444238355696	0.17426413919915135	0.13253123773424386	0.1777989044120787	0.18691980515303167	0.22003848338713472	0.1310501901400957
ABCB10	0.2589562098180727	0.2298888122858552	0.19741581651585385	0.19466147290369465	0.17355386000270984	0.09032750480651787	0.2385383348342317	0.12226113018444475	0.15672104695169042	0.2402471809101873
ABCB6	0.1795129823194064	0.3033602778586623	0.21273616561445247	0.26762537875252723	0.16221944828281598	0.17172188381485784	0.1848370105751939	0.1709585717991835	0.18777734911470426	0.2027404624344797
ABCB7	0.20952572881711912	0.2354157324626009	0.11625777129853015	0.2334342326081945	0.2497940565746795	0.16858647568036286	0.2415057555103836	0.19310516191965174	0.1539976591171464	0.16325168691364114
ABCB8	0.135689530991741	0.1637812108645811	0.07836968220927062	0.10269586696532024	0.08667634371986167	0.09621077875839812	0.16260159010045422	0.1111187208953892	0.1416493972492883	0.09724466110301072
ABCC1	0.19890584324021385	0.19194964318083044	0.08341077536561901	0.2281323938512691	0.13848588575962364	0.11425734716221528	0.0994880347397194	0.09285996586203242	0.10053125574805677	0.07875477494038753
ABCC3	0.053611161522320185	0.14573068961840632	0.1314720120837236	0.12053371843094228	0.2344106590560225	0.1010785370925718	0.08931355298654413	0.10707215929197304	0.14039278908805955	0.08954529391265288
ABCC4	0.2388875646483733	0.19446513471113125	0.2238818483256368	0.13483542350861866	0.21662028070832087	0.19908310899685314	0.1441238892962183	0.1585585587050251	0.1592077812926062	0.15914629635459668
ABCD1	0.13073730878880696	0.2424887573687093	0.11927412453558978	0.15733806921404872	0.12192543623030976	0.0904983207569886	0.2252034072276912	0.18895739281555704	0.1750214530855371	0.13287209004756434
ABCD3	0.2039505623163596	0.09751650418415872	0.18366012271215065	0.08714686085687247	0.2345026177172428	0.2466099155032221	0.1355172507287657	0.2447945795205098	0.15752332886647386	0.19732580178943404
